shape,model,chamfer_distance,f_score,hausdorff_distance,volume_iou,normal_consistency,morphing_readiness_score,dino_similarity,cleanup_cost,error
gear,hunyuan3d,0.24856457,0.03734700,0.78972508,0.16924200,0.25592900,0.77677900,0.77037900,3,
gear,trellis,0.24375428,0.04834400,0.76638181,,0.28768100,0.45297100,0.77413700,4,
gear,trellis2,0.22860078,0.04163300,0.76136692,,0.26437300,0.44597900,0.78284400,5,
sphere,hunyuan3d,0.00091459,0.57305000,0.06218274,,0.99817300,0.49945200,0.96384500,6,
sphere,trellis,0.00280138,0.13504700,0.07349809,,0.99774600,0.66599000,0.96364000,3,
sphere,trellis2,0.00192619,0.20000900,0.07316168,,0.99791600,0.66604200,0.92871000,4,
star,hunyuan3d,0.20157598,0.04834700,0.86961961,,0.30149900,0.29045000,0.73378700,7,
star,trellis,0.19725504,0.04856300,0.88448086,,0.29555200,0.45533200,0.73682000,4,
star,trellis2,0.18601073,0.04939800,0.83756481,,0.29888200,0.45633100,0.75520700,6,
torus,hunyuan3d,0.35215485,0.04180000,0.97617244,0.12229000,0.45369900,0.66944300,0.67667500,4,
torus,trellis,0.33554753,0.03038700,0.95814017,,0.46096000,0.50495500,0.60186900,4,
torus,trellis2,0.36911135,0.03786200,0.97326162,,0.44891300,0.50134100,0.65382700,4,
