shape,model,chamfer_distance,f_score,hausdorff_distance,volume_iou,normal_consistency,morphing_readiness_score,dino_similarity,cleanup_cost,error
shape_37384,hunyuan3d,0.08051614,0.04201900,0.54666223,0.37936600,0.54436500,0.86331000,0.61421600,2,
shape_37384,trellis,0.07256245,0.05306300,0.55891433,,0.61996400,0.55265600,0.61691400,3,
shape_37384,trellis2,0.05590965,0.04778600,0.41129943,,0.71428900,0.58095300,0.66103300,5,
shape_37416,hunyuan3d,0.08697937,0.07678800,0.79843494,,0.48496600,0.67882300,0.62235200,5,
shape_37416,trellis,0.04275857,0.15265100,0.38191222,,0.55266800,0.53246700,0.69250100,4,
shape_37416,trellis2,0.06468909,0.14660700,0.67745154,,0.51521100,0.52123000,0.55245300,5,
shape_38554,hunyuan3d,0.16967673,0.05622200,0.73504912,,0.53166100,0.59283200,0.68278100,5,
shape_38554,trellis,0.15197803,0.04769500,0.68697853,,0.49125500,0.51404300,0.67102500,4,
shape_38554,trellis2,0.17570440,0.11488900,0.75131678,,0.52342400,0.52369400,0.69334000,6,
shape_38741,hunyuan3d,0.31844247,0.04489800,0.96008552,0.04473300,0.28640200,0.58592100,0.66299700,4,
shape_38741,trellis,0.32773808,0.05997900,0.95849596,,0.33577700,0.46740000,0.65769900,4,
shape_38741,trellis2,0.33337254,0.06204800,0.96766846,,0.32687400,0.46472900,0.65159400,5,
shape_44498,hunyuan3d,0.22775112,0.04580200,0.83135227,0.11707800,0.37271300,0.81181400,0.59256300,3,
shape_44498,trellis,0.29603329,0.04511000,0.91107811,,0.25554000,0.44332900,0.54452900,4,
shape_44498,trellis2,0.25240032,0.06248700,0.90062313,,0.28626200,0.45254500,0.50192500,5,
shape_48013,hunyuan3d,0.11250452,0.11602000,0.65334042,,0.57748400,0.37324500,0.66162400,6,
shape_48013,trellis,0.10247372,0.09029800,0.60260152,,0.51353600,0.52072800,0.64858300,4,
shape_48013,trellis2,0.09408541,0.15683700,0.63004426,,0.54553900,0.53032800,0.63626200,5,
